"Name","noise.range","avg_train_loss","_wandb"
"legendary-sweep-38","0.15","911.73507046875",""
"olive-sweep-37","0.15","908.04804109375",""
"eager-sweep-36","0.15","909.27686640625",""
"exalted-sweep-35","0.1","908.3178290625",""
"apricot-sweep-34","0.1","907.92299296875",""
"dainty-sweep-33","0.1","909.791708125",""
"hearty-sweep-32","0.1","907.7975878125",""
"colorful-sweep-31","0.1","909.1244459375",""
"tough-sweep-30","0.05","907.99947296875",""
"exalted-sweep-29","0.05","908.87833921875",""
"visionary-sweep-28","0.05","909.43562265625",""
"honest-sweep-27","0.05","907.65711859375",""
"stoic-sweep-26","0.05","909.17647375",""
